"country","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","BBIBP-CorV","Oxford/AstraZeneca","Pfizer/BioNTech","Sinovac","Sputnik V","Sinopharm/Beijing","Johnson&Johnson","Moderna","Covaxin","CanSino","Sinopharm/Wuhan","Abdala","Soberana02","QazVac","Sinopharm/HayatVax","EpiVacCorona","RBD-Dimer","Region","Surface area (km2)","Population in thousands (2017)","Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","GDP: Gross domestic product (million current US$)","GDP growth rate (annual %, const. 2005 prices)","GDP per capita (current US$)","Economy: Agriculture (% of GVA)","Economy: Industry (% of GVA)","Economy: Services and other activity (% of GVA)","Employment: Agriculture (% of employed)","Employment: Industry (% of employed)","Employment: Services (% of employed)","Unemployment (% of labour force)","Agricultural production index (2004-2006=100)","Food production index (2004-2006=100)","International trade: Exports (million US$)","International trade: Imports (million US$)","International trade: Balance (million US$)","Balance of payments, current account (million US$)","Population growth rate (average annual %)","Urban population (% of total population)","Urban population growth rate (average annual %)","Fertility rate, total (live births per woman)","Refugees and others of concern to UNHCR (in thousands)","Infant mortality rate (per 1000 live births","Health: Total expenditure (% of GDP)","Education: Government expenditure (% of GDP)","Seats held by women in national parliaments %","Mobile-cellular subscriptions (per 100 inhabitants)","Individuals using the Internet (per 100 inhabitants)","Threatened species (number)","CO2 emission estimates (million tons/tons per capita)","Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)"
"Mongolia",3645291,1931642,1713649,9759,111.19,58.92,52.27,2977,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,"EasternAsia",1564116,3076,2,97.9,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51,6.3,147,149,4917,3358,1559,-948,1.9,72,2.8,2.8,"~0.0",22.8,4.7,4.6,17.1,21.4,41,8.1,677,84,2.21
"Montenegro",279639,148571,131068,1648,44.52,23.66,20.87,2624,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,"SouthernEurope",13812,629,46.8,97.4,4020,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,66,66,354,2263,-1908,-533,0.1,64,0.3,1.7,16,4.1,6.4,-99,23.5,64.6,98,61.5,29,64,2.44
"Montserrat",2600,1394,1206,2,52.01,27.89,24.12,400,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",103,5,51.8,106,59,0.4,11553.4,1.4,12.7,85.9,-99,-99,-99,5.6,103,103,4,36,-32,-27,0.7,9,0.7,"...","...",-99,-99,"...",-99,54.6,55,25,-99,133,-99
"Morocco",18251766,9685199,8566567,171200,49.45,26.24,23.21,4638,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"NorthernAfrica",446550,35740,80.1,98.1,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,130,130,22858,41696,-18838,-2161,1.4,60.2,2.3,2.6,6.4,28.1,5.9,"...",20.5,57.1,207,12.6,78,23,1.51
"Mozambique",394930,320129,74801,62,1.26,1.02,0.24,2,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"EasternAfrica",799380,29669,37.7,95.5,14806,6.6,529.2,24.6,21,54.4,75,4.1,21,24.1,137,137,3352,5295,-1943,-5833,2.9,32.2,3.3,5.4,24,67.3,7,6.5,39.6,9,309,48.5,779,20,12.54
"Myanmar",2994900,1772177,1222723,50126,5.5,3.26,2.25,921,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"South-easternAsia",676577,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,130,128,11673,15696,-4023,-3921,0.9,34.1,2.5,2.3,1392.1,45,2.3,-99,10.2,21.8,321,45.3,1078,15,2.23
"Namibia",124460,104530,19930,2979,4.9,4.11,0.78,1172,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"SouthernAfrica",824116,2534,3.1,94.7,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,88,89,4816,6721,-1905,-1700,2.2,46.7,4.2,3.6,4.8,36.4,-99,"...",41.3,22.3,115,8.5,19,31,1.24
"Nauru",7486,7486,,4,69.1,69.1,,369,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Micronesia",21,11,568,101.9,189,18.7,18469.2,3,59.9,37.1,-99,-99,-99,23,112,112,-99,-99,-99,-99,2.3,100,0.2,3.9,0.8,18,3.3,-99,10.5,54,82,0,0,63,-99
"Nepal",3231849,2500196,731653,22465,11.09,8.58,2.51,771,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"SouthernAsia",147181,29305,204.4,94.3,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3,139,139,703,5249,-4547,2447,1.2,18.6,3.2,2.3,30.7,32.8,5.8,3.7,29.6,17.6,104,25.4,451,19,5.73
"Netherlands",13734246,8912097,5091458,144407,80.15,52.01,29.71,8428,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"WesternEurope",41542,17036,505.2,99,750318,2,44332.1,1.8,20,78.2,2.2,15.9,81.9,5.6,115,115,511714,420969,90745,65129,0.3,90.5,1,1.7,116.3,3.5,10.9,5.5,38,93.1,40,11.1,2447,178,-99
